nomedepartamento;nomelinha;sublinha;no_gerencia;gerencia;categoria;subcategoria
Brinquedos;Artes e Atividades;Massas para Modelar;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Artes e Atividades
Brinquedos;Autoramas e Pistas;::unspecified::;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Autoramas e Pistas;Autoramas;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Autoramas e Pistas;Autoramas e Pistas;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Autoramas e Pistas;Ferroramas;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Autoramas e Pistas;Pista Hot Wheels;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Autoramas e Pistas;Pistas de Percursos Manuais;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Autoramas e Pistas;Hot Wheels;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Bicicletas Infantojuvenis;::unspecified::;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bicicletas Infantojuvenis
Brinquedos;Bicicletas Infantojuvenis;Acessórios para Bicicletas;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Bicicletas Infantojuvenis;Aro 12;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bicicletas Infantojuvenis
Brinquedos;Bicicletas Infantojuvenis;Aro 14;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bicicletas Infantojuvenis
Brinquedos;Bicicletas Infantojuvenis;Aro 16;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bicicletas Infantojuvenis
Brinquedos;Bicicletas Infantojuvenis;Aro 20;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bicicletas Infantojuvenis
Brinquedos;Bicicletas Infantojuvenis;Bicicletas Infantojuvenis;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bicicletas Infantojuvenis
Brinquedos;Bicicletas Infantojuvenis;Pré-bike;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bicicletas Infantojuvenis
Brinquedos;Bicicletas Infantojuvenis;Aro 10;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bicicletas Infantojuvenis
Brinquedos;Bicicletas Infantojuvenis;Aro 18;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bicicletas Infantojuvenis
Brinquedos;Bicicletas Infantojuvenis;Jogos Xbox 360;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Blocos de Montar;::unspecified::;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Blocos de Montar
Brinquedos;Blocos de Montar;BANBAO;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Blocos de Montar
Brinquedos;Blocos de Montar;Blocos de Montar;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Blocos de Montar
Brinquedos;Blocos de Montar;KRE-O;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Blocos de Montar
Brinquedos;Blocos de Montar;Lego;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Blocos de Montar
Brinquedos;Blocos de Montar;Megabloks;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Blocos de Montar
Brinquedos;Blocos de Montar;Outros Blocos de Montar;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Blocos de Montar
Brinquedos;Blocos de Montar;Playmobil;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Blocos de Montar
Brinquedos;Bonecas;::unspecified::;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Acessórios para Bonecas;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Adora Doll;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Baby Alive;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Barbie;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Bebês;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Boneca de Pano;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Diversas;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Epoch Magia;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Ever After High;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Frozen;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Hamsters in a House;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Lalaloopsy;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Little Mommy;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Littlest Pet Shop;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Mini Boneca;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Monster High;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;My Little Pony;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Peppa;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Polly Pocket;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Princesas Disney;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Super-heroínas;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Turma da Mônica;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Moranguinho;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Minnie Mouse;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Cupcake;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Sofia;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Masha e o Urso;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Hello Kitty;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Bonecas;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Bratz;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Divertida Mente;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Dora a Aventureira;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Doutora Brinquedos;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Susi;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecas;Trê-Lê-Lê;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecas
Brinquedos;Bonecos;::unspecified::;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Acessórios para Bonecos;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Angry Birds;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Avengers;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Batman;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Ben 10;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Bonecos;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Bonecos Colecionáveis;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Como Treinar o Seu Dragão;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Guardiões da Galáxia;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Homem Aranha;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Imaginext;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Liga da Justiça;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Max Steel;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Mickey Mouse;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Mike o Cavaleiro;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Minions e Meu Malvado Favorito;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Patrulha Canina;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Power Rangers;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Star Wars;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Super Homem;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Tartarugas Ninja;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Toy Story;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Transformers;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;X-Men;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Amigami;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Bakugan;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Club Penguin;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Cocoricó;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Frisos;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Fuleco;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Gormiti;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Lanterna Verde;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Monstros S.A.;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Panelas Elétricas;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Smurfs;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Suprimentos para Telefonia;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Bonecos;Turma do Terror;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Bonecos
Brinquedos;Brincadeiras;::unspecified::;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brincadeiras
Brinquedos;Brincadeiras;Brincadeiras;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brincadeiras
Brinquedos;Brincadeiras;Brincadeiras de Casinha;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brincadeiras
Brinquedos;Brincadeiras;Brincando de Escolinha;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brincadeiras
Brinquedos;Brincadeiras;Lançadores;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brincadeiras
Brinquedos;Brincadeiras;Spinner;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brincadeiras
Brinquedos;Brincadeiras;Tocas e Barracas Infantis;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brincadeiras
Brinquedos;Brincadeiras;Tênis Esportivo;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brincadeiras
Brinquedos;Brinquedos Educativos;::unspecified::;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Educativos;Acessórios;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Educativos;Acessórios para Banheiras;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Educativos;Andadores;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Educativos;Brinquedos Educativos;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Educativos;Camisas Polo;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Educativos;Carrinhos para Passeio;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Educativos;Cartas e Dominós;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Educativos;Desenhos e Pinturas;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Educativos;Educativos;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Educativos;Estratégia;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Educativos;Lançadores;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Educativos;Mickey Mouse;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Educativos;Ofertas de Parceiros;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Educativos;Outros Blocos de Montar;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Educativos;Outros Instrumentos Musicais;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Educativos;Pijamas;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Educativos;Spinner;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Educativos;Tênis;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Educativos;acessorios de protecao;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Educativos;Acessórios para Minidrone;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Educativos;Almofada Infantil;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Educativos;Brincadeiras de Casinha;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Educativos;Cristianismo;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Educativos;Decoração de Ambiente;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Educativos;Mini Games;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Educativos;Outros Esportes;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Educativos;Sonoros;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Eletrônicos;::unspecified::;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Eletrônicos;Brinquedos Eletrônicos;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Eletrônicos;Câmeras e Filmadoras;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Eletrônicos;Celulares e Telefones Infantis;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Eletrônicos;Karaokê;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Eletrônicos;Mini Games;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Eletrônicos;Mp3, Mp4 e Acessórios;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Eletrônicos;Notebooks Infantis;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Eletrônicos;Rádios Infantis;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Eletrônicos;Relógios Infantis;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Eletrônicos;Robôs;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Eletrônicos;Spynet;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Eletrônicos;Torradeiras;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Eletrônicos;TV e DVD Player;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Eletrônicos;Walkie Talkies;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Eletrônicos;Desktops Infantis;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Brinquedos Eletrônicos;Pedagogia;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Brinquedos Educativos e Eletrônicos
Brinquedos;Carrinhos e Miniaturas;::unspecified::;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Carrinhos e Miniaturas;Aviões e Helicópteros;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Carrinhos e Miniaturas;Barcos e Lanchas;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Carrinhos e Miniaturas;Caminhões e Ônibus;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Carrinhos e Miniaturas;Carrinhos e Miniaturas;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Carrinhos e Miniaturas;Carros;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Carrinhos e Miniaturas;Hot Wheels;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Carrinhos e Miniaturas;Motos de Brinquedo;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Carrinhos e Miniaturas;Naves Espaciais;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Carrinhos e Miniaturas;Trens;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Colecionáveis;::unspecified::;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Colecionáveis
Brinquedos;Colecionáveis;Action Figures;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Colecionáveis
Brinquedos;Colecionáveis;Aeromodelismo;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Colecionáveis
Brinquedos;Colecionáveis;Buble Heads;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Colecionáveis
Brinquedos;Colecionáveis;Chaveiros;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Colecionáveis
Brinquedos;Colecionáveis;Colecionáveis;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Colecionáveis
Brinquedos;Colecionáveis;Funko;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Colecionáveis
Brinquedos;Colecionáveis;Revell;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Colecionáveis
Brinquedos;Colecionáveis;Acessórios para Carrinhos de Bebê;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Colecionáveis
Brinquedos;Colecionáveis;colecionaveis;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Colecionáveis
Brinquedos;Controle Remoto;::unspecified::;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Controle Remoto
Brinquedos;Controle Remoto;Aviões e Helicópteros;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Controle Remoto
Brinquedos;Controle Remoto;Barcos e Lanchas;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Controle Remoto
Brinquedos;Controle Remoto;Caminhões, Ônibus e Trens;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Controle Remoto
Brinquedos;Controle Remoto;Carros;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Controle Remoto
Brinquedos;Controle Remoto;Motos de Controle Remoto;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Controle Remoto
Brinquedos;Controle Remoto;Outros veículos;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Controle Remoto
Brinquedos;Controle Remoto;Controle Remoto;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Controle Remoto
Brinquedos;Esporte Infantil;::unspecified::;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Esporte Infantil
Brinquedos;Esporte Infantil;Acessórios para Proteção;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Esporte Infantil
Brinquedos;Esporte Infantil;Basquete Infantil;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Esporte Infantil
Brinquedos;Esporte Infantil;Bolas;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Esporte Infantil
Brinquedos;Esporte Infantil;Diversas;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Esporte Infantil
Brinquedos;Esporte Infantil;Futebol Infantil;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Esporte Infantil
Brinquedos;Esporte Infantil;Outros Esportes;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Esporte Infantil
Brinquedos;Esporte Infantil;Patinete;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Esporte Infantil
Brinquedos;Esporte Infantil;Patinetes Elétricos;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Esporte Infantil
Brinquedos;Esporte Infantil;Patins Infantis;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Esporte Infantil
Brinquedos;Esporte Infantil;Pebolins;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Esporte Infantil
Brinquedos;Esporte Infantil;Pesca;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Esporte Infantil
Brinquedos;Esporte Infantil;Sinuca;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Esporte Infantil
Brinquedos;Esporte Infantil;Skatenetes;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Esporte Infantil
Brinquedos;Esporte Infantil;Skates;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Esporte Infantil
Brinquedos;Esporte Infantil;Esporte Infantil;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Esporte Infantil
Brinquedos;Esporte Infantil;Fliperamas;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Esporte Infantil
Brinquedos;Fantasia;Fantasia;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Fantasia;Inglês;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Fantasia;Rasteiras;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Fantasia;NA;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Fantasia;Acessórios para Barbeadores;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Fantasia;Acessórios para Notebook;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Fantasia;Fogões Industriais;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Fantasia;Tênis Esportivo;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Guarda Brinquedos;::unspecified::;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Guarda Brinquedos;Acessórios para Banho;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Guarda Brinquedos;Complementos Infantis;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Guarda Brinquedos;Guarda Brinquedos;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Guarda Brinquedos;Acessórios para Jardim;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Guarda Brinquedos;Ofertas de Parceiros;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Guarda Brinquedos;Pijamas;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Instrumentos Musicais Infantis;::unspecified::;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Instrumentos Musicais Infantis;Acessórios Instrumentos Infantis;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Instrumentos Musicais Infantis;Baterias Infantis;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Instrumentos Musicais Infantis;Guitarras Infantis;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Instrumentos Musicais Infantis;Instrumentos Musicais Infantis;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Instrumentos Musicais Infantis;Outros Instrumentos Musicais;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Instrumentos Musicais Infantis;Pandeiros Infantis;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Instrumentos Musicais Infantis;Pianos Infantis;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Instrumentos Musicais Infantis;Teclados Infantis;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Instrumentos Musicais Infantis;Violões Infantis;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
Brinquedos;Instrumentos Musicais Infantis;Trompetes Infantis;8;CL - Bebê/Brinquedos/E&L;Brinquedos;Outros
