id|reportsuiteid|reportsuitename|data|hour|termo|quantidade|createdat
1495||CB - CasasBahia.com.br|09/08/2018|5|iphone|6|2018-08-14 15:54:07.0000000
1496||CB - CasasBahia.com.br|09/08/2018|5|geladeira|25|2018-08-14 15:54:07.0000000
1497||CB - CasasBahia.com.br|09/08/2018|5|microondas|5|2018-08-14 15:54:07.0000000
1498||CB - CasasBahia.com.br|09/08/2018|5|sofa|8|2018-08-14 15:54:07.0000000
1499||CB - CasasBahia.com.br|09/08/2018|5|painel para tv|0|2018-08-14 15:54:07.0000000
1500||CB - CasasBahia.com.br|09/08/2018|5|armÃ¡rio de cozinha|0|2018-08-14 15:54:07.0000000
1501||CB - CasasBahia.com.br|09/08/2018|6|celular|32|2018-08-14 15:54:07.0000000
1502||CB - CasasBahia.com.br|09/08/2018|6|guarda roupas de casal|43|2018-08-14 15:54:07.0000000
1503||CB - CasasBahia.com.br|09/08/2018|6|guarda roupa|10|2018-08-14 15:54:07.0000000
1504||CB - CasasBahia.com.br|09/08/2018|6|notebook|15|2018-08-14 15:54:07.0000000
1505||CB - CasasBahia.com.br|09/08/2018|6|iphone|22|2018-08-14 15:54:07.0000000
1506||CB - CasasBahia.com.br|09/08/2018|6|geladeira|10|2018-08-14 15:54:07.0000000
1507||CB - CasasBahia.com.br|09/08/2018|6|microondas|8|2018-08-14 15:54:07.0000000
1508||CB - CasasBahia.com.br|09/08/2018|6|sofa|5|2018-08-14 15:54:07.0000000
1509||CB - CasasBahia.com.br|09/08/2018|6|painel para tv|2|2018-08-14 15:54:07.0000000
1510||CB - CasasBahia.com.br|09/08/2018|6|armÃ¡rio de cozinha|10|2018-08-14 15:54:07.0000000
1511||CB - CasasBahia.com.br|09/08/2018|7|celular|181|2018-08-14 15:54:07.0000000
1512||CB - CasasBahia.com.br|09/08/2018|7|guarda roupas de casal|63|2018-08-14 15:54:07.0000000
1513||CB - CasasBahia.com.br|09/08/2018|7|guarda roupa|46|2018-08-14 15:54:07.0000000
1514||CB - CasasBahia.com.br|09/08/2018|7|notebook|122|2018-08-14 15:54:07.0000000
1515||CB - CasasBahia.com.br|09/08/2018|7|iphone|65|2018-08-14 15:54:07.0000000
1516||CB - CasasBahia.com.br|09/08/2018|7|geladeira|51|2018-08-14 15:54:07.0000000
1517||CB - CasasBahia.com.br|09/08/2018|7|microondas|53|2018-08-14 15:54:07.0000000
1518||CB - CasasBahia.com.br|09/08/2018|7|sofa|14|2018-08-14 15:54:07.0000000
1519||CB - CasasBahia.com.br|09/08/2018|7|painel para tv|54|2018-08-14 15:54:07.0000000
1520||CB - CasasBahia.com.br|09/08/2018|7|armÃ¡rio de cozinha|35|2018-08-14 15:54:07.0000000
1521||CB - CasasBahia.com.br|09/08/2018|8|celular|451|2018-08-14 15:54:07.0000000
1522||CB - CasasBahia.com.br|09/08/2018|8|guarda roupas de casal|176|2018-08-14 15:54:07.0000000
1523||CB - CasasBahia.com.br|09/08/2018|8|guarda roupa|331|2018-08-14 15:54:07.0000000
1524||CB - CasasBahia.com.br|09/08/2018|8|notebook|260|2018-08-14 15:54:07.0000000
1525||CB - CasasBahia.com.br|09/08/2018|8|iphone|266|2018-08-14 15:54:07.0000000
1526||CB - CasasBahia.com.br|09/08/2018|8|geladeira|104|2018-08-14 15:54:07.0000000
1527||CB - CasasBahia.com.br|09/08/2018|8|microondas|255|2018-08-14 15:54:07.0000000
1528||CB - CasasBahia.com.br|09/08/2018|8|sofa|151|2018-08-14 15:54:07.0000000
1529||CB - CasasBahia.com.br|09/08/2018|8|painel para tv|62|2018-08-14 15:54:07.0000000
1530||CB - CasasBahia.com.br|09/08/2018|8|armÃ¡rio de cozinha|105|2018-08-14 15:54:07.0000000
1531||CB - CasasBahia.com.br|09/08/2018|9|celular|676|2018-08-14 15:54:07.0000000
1532||CB - CasasBahia.com.br|09/08/2018|9|guarda roupas de casal|368|2018-08-14 15:54:07.0000000
1533||CB - CasasBahia.com.br|09/08/2018|9|guarda roupa|400|2018-08-14 15:54:07.0000000
1534||CB - CasasBahia.com.br|09/08/2018|9|notebook|446|2018-08-14 15:54:07.0000000
1535||CB - CasasBahia.com.br|09/08/2018|9|iphone|344|2018-08-14 15:54:07.0000000
1536||CB - CasasBahia.com.br|09/08/2018|9|geladeira|320|2018-08-14 15:54:07.0000000
